Date,Store ID,Product ID,predicted_units_sold
2023-11-01,S001,P0001,143.1
2023-11-02,S001,P0001,157.7
2023-11-03,S001,P0001,149.9
2023-11-04,S001,P0001,150.5
2023-11-05,S001,P0001,160.8
2023-11-06,S001,P0001,145.2
2023-11-07,S001,P0001,174.1
2023-11-08,S001,P0001,148.7
2023-11-09,S001,P0001,180.1
2023-11-10,S001,P0001,128.0
2023-11-11,S001,P0001,163.0
2023-11-12,S001,P0001,154.9
2023-11-13,S001,P0001,137.8
2023-11-14,S001,P0001,162.3
2023-11-01,S001,P0002,112.8
2023-11-02,S001,P0002,132.4
2023-11-03,S001,P0002,131.9
2023-11-04,S001,P0002,114.2
2023-11-05,S001,P0002,109.5
2023-11-06,S001,P0002,102.8
2023-11-07,S001,P0002,110.7
2023-11-08,S001,P0002,99.2
2023-11-09,S001,P0002,114.2
2023-11-10,S001,P0002,97.4
2023-11-11,S001,P0002,112.1
2023-11-12,S001,P0002,63.5
2023-11-13,S001,P0002,105.5
2023-11-14,S001,P0002,123.4
2023-11-01,S001,P0003,109.7
2023-11-02,S001,P0003,120.4
2023-11-03,S001,P0003,143.1
2023-11-04,S001,P0003,137.4
2023-11-05,S001,P0003,139.9
2023-11-06,S001,P0003,118.4
2023-11-07,S001,P0003,134.4
2023-11-08,S001,P0003,142.8
2023-11-09,S001,P0003,112.4
2023-11-10,S001,P0003,114.9
2023-11-11,S001,P0003,127.1
2023-11-12,S001,P0003,157.2
2023-11-13,S001,P0003,116.7
2023-11-14,S001,P0003,143.6
2023-11-01,S001,P0004,142.1
2023-11-02,S001,P0004,122.2
2023-11-03,S001,P0004,139.5
2023-11-04,S001,P0004,141.1
2023-11-05,S001,P0004,135.1
2023-11-06,S001,P0004,139.3
2023-11-07,S001,P0004,131.2
2023-11-08,S001,P0004,115.0
2023-11-09,S001,P0004,137.9
2023-11-10,S001,P0004,160.5
2023-11-11,S001,P0004,123.8
2023-11-12,S001,P0004,143.1
2023-11-13,S001,P0004,130.9
2023-11-14,S001,P0004,129.0
2023-11-01,S001,P0005,142.0
2023-11-02,S001,P0005,109.1
2023-11-03,S001,P0005,112.1
2023-11-04,S001,P0005,107.7
2023-11-05,S001,P0005,132.3
2023-11-06,S001,P0005,139.1
2023-11-07,S001,P0005,125.4
2023-11-08,S001,P0005,126.2
2023-11-09,S001,P0005,109.2
2023-11-10,S001,P0005,120.8
2023-11-11,S001,P0005,135.3
2023-11-12,S001,P0005,152.8
2023-11-13,S001,P0005,115.7
2023-11-14,S001,P0005,124.9
2023-11-01,S001,P0006,148.9
2023-11-02,S001,P0006,143.0
2023-11-03,S001,P0006,129.1
2023-11-04,S001,P0006,137.6
2023-11-05,S001,P0006,157.1
2023-11-06,S001,P0006,129.9
2023-11-07,S001,P0006,132.7
2023-11-08,S001,P0006,173.3
2023-11-09,S001,P0006,144.9
2023-11-10,S001,P0006,148.1
2023-11-11,S001,P0006,150.2
2023-11-12,S001,P0006,153.3
2023-11-13,S001,P0006,136.4
2023-11-14,S001,P0006,153.5
2023-11-01,S001,P0007,157.8
2023-11-02,S001,P0007,178.1
2023-11-03,S001,P0007,138.0
2023-11-04,S001,P0007,139.4
