Date,Store ID,Product ID,predicted_units_sold
2023-11-01,S001,P0001,145.4
2023-11-02,S001,P0001,152.7
2023-11-03,S001,P0001,142.2
2023-11-04,S001,P0001,142.6
2023-11-05,S001,P0001,149.4
2023-11-06,S001,P0001,140.6
2023-11-07,S001,P0001,146.3
2023-11-08,S001,P0001,141.4
2023-11-09,S001,P0001,147.3
2023-11-10,S001,P0001,137.1
2023-11-11,S001,P0001,145.3
2023-11-12,S001,P0001,146.0
2023-11-13,S001,P0001,138.4
2023-11-14,S001,P0001,143.8
2023-11-01,S001,P0002,108.6
2023-11-02,S001,P0002,122.7
2023-11-03,S001,P0002,131.7
2023-11-04,S001,P0002,118.2
2023-11-05,S001,P0002,116.9
2023-11-06,S001,P0002,117.5
2023-11-07,S001,P0002,123.3
2023-11-08,S001,P0002,117.7
2023-11-09,S001,P0002,120.6
2023-11-10,S001,P0002,116.3
2023-11-11,S001,P0002,121.5
2023-11-12,S001,P0002,108.6
2023-11-13,S001,P0002,113.5
2023-11-14,S001,P0002,122.2
2023-11-01,S001,P0003,117.8
2023-11-02,S001,P0003,126.7
2023-11-03,S001,P0003,134.2
2023-11-04,S001,P0003,136.6
2023-11-05,S001,P0003,140.6
2023-11-06,S001,P0003,129.6
2023-11-07,S001,P0003,141.8
2023-11-08,S001,P0003,137.1
2023-11-09,S001,P0003,129.5
2023-11-10,S001,P0003,131.7
2023-11-11,S001,P0003,134.5
2023-11-12,S001,P0003,151.9
2023-11-13,S001,P0003,126.2
2023-11-14,S001,P0003,138.1
2023-11-01,S001,P0004,151.0
2023-11-02,S001,P0004,127.1
2023-11-03,S001,P0004,140.7
2023-11-04,S001,P0004,143.4
2023-11-05,S001,P0004,136.4
2023-11-06,S001,P0004,128.9
2023-11-07,S001,P0004,139.6
2023-11-08,S001,P0004,123.0
2023-11-09,S001,P0004,133.9
2023-11-10,S001,P0004,145.1
2023-11-11,S001,P0004,130.5
2023-11-12,S001,P0004,141.8
2023-11-13,S001,P0004,135.6
2023-11-14,S001,P0004,140.7
2023-11-01,S001,P0005,136.7
2023-11-02,S001,P0005,123.5
2023-11-03,S001,P0005,134.4
2023-11-04,S001,P0005,126.6
2023-11-05,S001,P0005,129.9
2023-11-06,S001,P0005,143.6
2023-11-07,S001,P0005,126.1
2023-11-08,S001,P0005,135.5
2023-11-09,S001,P0005,125.8
2023-11-10,S001,P0005,128.1
2023-11-11,S001,P0005,128.3
2023-11-12,S001,P0005,135.9
2023-11-13,S001,P0005,133.4
2023-11-14,S001,P0005,136.9
2023-11-01,S001,P0006,130.1
2023-11-02,S001,P0006,145.6
2023-11-03,S001,P0006,135.1
2023-11-04,S001,P0006,134.6
2023-11-05,S001,P0006,135.9
2023-11-06,S001,P0006,138.6
2023-11-07,S001,P0006,123.3
2023-11-08,S001,P0006,140.8
2023-11-09,S001,P0006,141.1
2023-11-10,S001,P0006,134.0
2023-11-11,S001,P0006,140.7
2023-11-12,S001,P0006,143.0
2023-11-13,S001,P0006,130.2
2023-11-14,S001,P0006,131.3
2023-11-01,S001,P0007,140.7
2023-11-02,S001,P0007,164.1
2023-11-03,S001,P0007,138.0
2023-11-04,S001,P0007,141.2
2023-11-05,S001,P0007,141.1
2023-11-06,S001,P0007,130.1
2023-11-07,S001,P0007,131.4
2023-11-08,S001,P0007,136.3
2023-11-09,S001,P0007,141.4
2023-11-10,S001,P0007,130.3
2023-11-11,S001,P0007,140.1
2023-11-12,S001,P0007,130.6
2023-11-13,S001,P0007,136.2
2023-11-14,S001,P0007,144.2
2023-11-01,S001,P0008,140.2
2023-11-02,S001,P0008,149.8
2023-11-03,S001,P0008,159.4
2023-11-04,S001,P0008,136.7
2023-11-05,S001,P0008,140.5
2023-11-06,S001,P0008,135.4
2023-11-07,S001,P0008,139.6
2023-11-08,S001,P0008,138.9
2023-11-09,S001,P0008,146.0
2023-11-10,S001,P0008,133.4
2023-11-11,S001,P0008,141.2
2023-11-12,S001,P0008,140.2
2023-11-13,S001,P0008,146.6
2023-11-14,S001,P0008,149.4
2023-11-01,S001,P0009,152.4
2023-11-02,S001,P0009,140.9
2023-11-03,S001,P0009,129.6
2023-11-04,S001,P0009,143.1
2023-11-05,S001,P0009,139.9
2023-11-06,S001,P0009,124.1
2023-11-07,S001,P0009,146.6
2023-11-08,S001,P0009,128.4
2023-11-09,S001,P0009,147.7
2023-11-10,S001,P0009,141.4
2023-11-11,S001,P0009,134.4
2023-11-12,S001,P0009,140.7
2023-11-13,S001,P0009,142.3
2023-11-14,S001,P0009,136.1
2023-11-01,S001,P0010,133.6
2023-11-02,S001,P0010,134.8
2023-11-03,S001,P0010,141.7
2023-11-04,S001,P0010,133.7
2023-11-05,S001,P0010,132.4
2023-11-06,S001,P0010,129.2
2023-11-07,S001,P0010,136.1
2023-11-08,S001,P0010,130.8
2023-11-09,S001,P0010,128.0
2023-11-10,S001,P0010,144.6
2023-11-11,S001,P0010,131.3
2023-11-12,S001,P0010,140.6
2023-11-13,S001,P0010,139.3
2023-11-14,S001,P0010,136.3
2023-11-01,S001,P0011,135.8
2023-11-02,S001,P0011,128.3
2023-11-03,S001,P0011,147.0
2023-11-04,S001,P0011,132.0
2023-11-05,S001,P0011,143.3
2023-11-06,S001,P0011,153.7
2023-11-07,S001,P0011,142.9
2023-11-08,S001,P0011,140.8
2023-11-09,S001,P0011,142.2
2023-11-10,S001,P0011,138.7
2023-11-11,S001,P0011,136.0
2023-11-12,S001,P0011,134.8
2023-11-13,S001,P0011,155.1
2023-11-14,S001,P0011,150.4
2023-11-01,S001,P0012,148.2
2023-11-02,S001,P0012,145.5
2023-11-03,S001,P0012,112.3
2023-11-04,S001,P0012,132.3
2023-11-05,S001,P0012,120.5
2023-11-06,S001,P0012,136.6
2023-11-07,S001,P0012,141.1
2023-11-08,S001,P0012,135.4
2023-11-09,S001,P0012,143.7
2023-11-10,S001,P0012,137.7
2023-11-11,S001,P0012,133.6
2023-11-12,S001,P0012,133.6
2023-11-13,S001,P0012,125.5
2023-11-14,S001,P0012,135.8
2023-11-01,S001,P0013,135.0
2023-11-02,S001,P0013,128.4
2023-11-03,S001,P0013,140.4
2023-11-04,S001,P0013,140.2
2023-11-05,S001,P0013,137.4
2023-11-06,S001,P0013,131.0
2023-11-07,S001,P0013,129.2
2023-11-08,S001,P0013,135.1
2023-11-09,S001,P0013,138.3
2023-11-10,S001,P0013,134.5
2023-11-11,S001,P0013,139.1
2023-11-12,S001,P0013,140.2
2023-11-13,S001,P0013,133.5
2023-11-14,S001,P0013,137.3
2023-11-01,S001,P0014,147.9
2023-11-02,S001,P0014,133.7
2023-11-03,S001,P0014,144.0
2023-11-04,S001,P0014,137.0
2023-11-05,S001,P0014,145.0
2023-11-06,S001,P0014,130.7
2023-11-07,S001,P0014,137.8
2023-11-08,S001,P0014,141.6
2023-11-09,S001,P0014,134.0
2023-11-10,S001,P0014,137.9
2023-11-11,S001,P0014,148.0
2023-11-12,S001,P0014,131.2
2023-11-13,S001,P0014,142.8
2023-11-14,S001,P0014,135.2
2023-11-01,S001,P0015,124.7
2023-11-02,S001,P0015,129.0
2023-11-03,S001,P0015,125.0
2023-11-04,S001,P0015,146.9
2023-11-05,S001,P0015,127.5
2023-11-06,S001,P0015,134.6
2023-11-07,S001,P0015,135.6
2023-11-08,S001,P0015,141.2
2023-11-09,S001,P0015,136.3
2023-11-10,S001,P0015,144.6
2023-11-11,S001,P0015,141.7
2023-11-12,S001,P0015,130.9
2023-11-13,S001,P0015,137.0
2023-11-14,S001,P0015,138.9
2023-11-01,S001,P0016,142.5
2023-11-02,S001,P0016,139.8
2023-11-03,S001,P0016,146.1
2023-11-04,S001,P0016,149.6
2023-11-05,S001,P0016,151.6
2023-11-06,S001,P0016,146.0
2023-11-07,S001,P0016,145.5
2023-11-08,S001,P0016,142.9
2023-11-09,S001,P0016,143.7
2023-11-10,S001,P0016,146.8
2023-11-11,S001,P0016,144.5
2023-11-12,S001,P0016,146.5
2023-11-13,S001,P0016,152.0
2023-11-14,S001,P0016,144.2
2023-11-01,S001,P0017,145.8
2023-11-02,S001,P0017,143.4
2023-11-03,S001,P0017,128.3
2023-11-04,S001,P0017,134.0
2023-11-05,S001,P0017,125.8
2023-11-06,S001,P0017,115.0
2023-11-07,S001,P0017,127.4
2023-11-08,S001,P0017,129.8
2023-11-09,S001,P0017,122.7
2023-11-10,S001,P0017,120.5
2023-11-11,S001,P0017,116.8
2023-11-12,S001,P0017,122.4
2023-11-13,S001,P0017,154.7
2023-11-14,S001,P0017,125.5
2023-11-01,S001,P0018,138.0
2023-11-02,S001,P0018,142.8
2023-11-03,S001,P0018,143.4
2023-11-04,S001,P0018,128.9
2023-11-05,S001,P0018,129.8
2023-11-06,S001,P0018,140.4
2023-11-07,S001,P0018,134.9
2023-11-08,S001,P0018,141.1
2023-11-09,S001,P0018,139.7
2023-11-10,S001,P0018,146.9
2023-11-11,S001,P0018,143.6
2023-11-12,S001,P0018,132.7
2023-11-13,S001,P0018,132.1
2023-11-14,S001,P0018,137.1
2023-11-01,S001,P0019,148.7
2023-11-02,S001,P0019,153.7
2023-11-03,S001,P0019,114.5
2023-11-04,S001,P0019,139.4
2023-11-05,S001,P0019,126.4
2023-11-06,S001,P0019,148.0
2023-11-07,S001,P0019,141.1
2023-11-08,S001,P0019,131.8
2023-11-09,S001,P0019,127.9
2023-11-10,S001,P0019,123.7
2023-11-11,S001,P0019,130.6
2023-11-12,S001,P0019,146.0
2023-11-13,S001,P0019,133.0
2023-11-14,S001,P0019,152.2
2023-11-01,S001,P0020,149.9
2023-11-02,S001,P0020,141.1
2023-11-03,S001,P0020,129.0
2023-11-04,S001,P0020,128.2
2023-11-05,S001,P0020,141.0
2023-11-06,S001,P0020,124.8
2023-11-07,S001,P0020,123.5
2023-11-08,S001,P0020,124.4
2023-11-09,S001,P0020,132.8
2023-11-10,S001,P0020,130.7
2023-11-11,S001,P0020,114.3
2023-11-12,S001,P0020,127.9
2023-11-13,S001,P0020,137.2
2023-11-14,S001,P0020,133.7
2023-11-01,S002,P0001,131.6
2023-11-02,S002,P0001,138.7
2023-11-03,S002,P0001,125.8
2023-11-04,S002,P0001,135.3
2023-11-05,S002,P0001,138.2
2023-11-06,S002,P0001,134.5
2023-11-07,S002,P0001,137.5
2023-11-08,S002,P0001,133.8
2023-11-09,S002,P0001,147.0
2023-11-10,S002,P0001,134.8
2023-11-11,S002,P0001,134.2
2023-11-12,S002,P0001,137.7
2023-11-13,S002,P0001,128.7
2023-11-14,S002,P0001,132.6
2023-11-01,S002,P0002,133.1
2023-11-02,S002,P0002,135.9
2023-11-03,S002,P0002,130.6
2023-11-04,S002,P0002,108.6
2023-11-05,S002,P0002,120.2
2023-11-06,S002,P0002,116.2
2023-11-07,S002,P0002,131.5
2023-11-08,S002,P0002,121.7
2023-11-09,S002,P0002,130.2
2023-11-10,S002,P0002,122.4
2023-11-11,S002,P0002,123.4
2023-11-12,S002,P0002,121.8
2023-11-13,S002,P0002,134.4
2023-11-14,S002,P0002,126.6
2023-11-01,S002,P0003,141.2
2023-11-02,S002,P0003,127.1
2023-11-03,S002,P0003,143.0
2023-11-04,S002,P0003,136.9
2023-11-05,S002,P0003,148.2
2023-11-06,S002,P0003,134.9
2023-11-07,S002,P0003,139.3
2023-11-08,S002,P0003,139.2
2023-11-09,S002,P0003,143.1
2023-11-10,S002,P0003,139.5
2023-11-11,S002,P0003,138.7
2023-11-12,S002,P0003,142.1
2023-11-13,S002,P0003,137.6
2023-11-14,S002,P0003,142.3
2023-11-01,S002,P0004,119.1
2023-11-02,S002,P0004,125.1
2023-11-03,S002,P0004,127.5
2023-11-04,S002,P0004,121.4
2023-11-05,S002,P0004,123.9
2023-11-06,S002,P0004,120.0
2023-11-07,S002,P0004,115.7
2023-11-08,S002,P0004,126.9
2023-11-09,S002,P0004,120.0
2023-11-10,S002,P0004,115.7
2023-11-11,S002,P0004,124.7
2023-11-12,S002,P0004,124.0
2023-11-13,S002,P0004,118.7
2023-11-14,S002,P0004,123.3
2023-11-01,S002,P0005,153.4
2023-11-02,S002,P0005,146.3
2023-11-03,S002,P0005,144.7
2023-11-04,S002,P0005,138.7
2023-11-05,S002,P0005,134.7
2023-11-06,S002,P0005,139.8
2023-11-07,S002,P0005,133.0
2023-11-08,S002,P0005,139.2
2023-11-09,S002,P0005,132.9
2023-11-10,S002,P0005,135.5
2023-11-11,S002,P0005,134.7
2023-11-12,S002,P0005,136.5
2023-11-13,S002,P0005,149.0
2023-11-14,S002,P0005,137.8
2023-11-01,S002,P0006,156.6
2023-11-02,S002,P0006,137.2
2023-11-03,S002,P0006,141.8
2023-11-04,S002,P0006,126.5
2023-11-05,S002,P0006,137.6
2023-11-06,S002,P0006,144.2
2023-11-07,S002,P0006,129.3
2023-11-08,S002,P0006,134.1
2023-11-09,S002,P0006,139.4
2023-11-10,S002,P0006,135.7
2023-11-11,S002,P0006,136.3
2023-11-12,S002,P0006,140.7
2023-11-13,S002,P0006,141.1
2023-11-14,S002,P0006,133.7
2023-11-01,S002,P0007,133.1
2023-11-02,S002,P0007,127.9
2023-11-03,S002,P0007,139.1
2023-11-04,S002,P0007,140.3
