Date,Store ID,Product ID,Inventory Level,Units Sold,Units Ordered,Price,Discount,Holiday/Promotion,Year,Month,Day,DayOfWeek,NET_PRICE,Price_Diff,Price_Ratio,units_sold_lag_1,units_sold_lag_2,units_sold_lag_3,units_sold_lag_7,units_sold_lag_14,units_sold_lag_30,units_sold_lag_365,sales_roll_mean_7,sales_roll_mean_30,Category_Electronics,Category_Furniture,Category_Groceries,Category_Toys,Region_North,Region_South,Region_West,Weather Condition_Rainy,Weather Condition_Snowy,Weather Condition_Sunny,Seasonality_NEW_Spring,Seasonality_NEW_Summer,Seasonality_NEW_Winter
2022-01-01,S001,P0001,231,127,55,33.5,20,0,2022,1,1,5,26.8,3.8099999999999987,1.1283260357022566,,,,,,,,,,0,0,1,0,1,0,0,1,0,0,0,0,1
2022-01-02,S001,P0001,116,81,104,27.95,10,0,2022,1,2,6,25.155,-2.9400000000000013,0.904823567497572,127.0,,,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1
2022-01-03,S001,P0001,154,5,189,62.7,20,0,2022,1,3,0,50.160000000000004,4.480000000000004,1.076949501889385,81.0,127.0,,,,,,,,1,0,0,0,0,0,1,1,0,0,0,0,1
2022-01-04,S001,P0001,85,58,193,77.88,15,1,2022,1,4,1,66.198,1.8900000000000006,1.0248716936439006,5.0,81.0,127.0,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,1
2022-01-05,S001,P0001,238,147,37,28.46,20,1,2022,1,5,2,22.768,-0.9399999999999977,0.9680272108843538,58.0,5.0,81.0,,,,,,,0,0,1,0,0,1,0,0,0,1,0,0,1
2022-01-06,S001,P0001,198,37,155,91.05,5,0,2022,1,6,3,86.49749999999999,3.75,1.0429553264604812,147.0,58.0,5.0,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,1
2022-01-07,S001,P0001,195,107,106,53.99,10,1,2022,1,7,4,48.591,-4.809999999999995,0.9181972789115647,37.0,147.0,58.0,,,,,,,0,1,0,0,1,0,0,0,0,1,0,0,1
2022-01-08,S001,P0001,231,2,119,66.3,20,1,2022,1,8,5,53.04,2.479999999999997,1.0388592917580695,107.0,37.0,147.0,127.0,,,,80.28571428571429,,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-01-09,S001,P0001,373,350,178,41.72,0,1,2022,1,9,6,41.72,3.039999999999999,1.0785935884177869,2.0,107.0,37.0,81.0,,,,62.42857142857143,,1,0,0,0,0,1,0,0,0,1,0,0,1
2022-01-10,S001,P0001,327,36,132,32.68,5,1,2022,1,10,0,31.046,-2.030000000000001,0.9415154134255258,350.0,2.0,107.0,5.0,,,,100.85714285714286,,1,0,0,0,0,0,1,0,1,0,0,0,1
2022-01-11,S001,P0001,101,16,193,27.53,5,1,2022,1,11,1,26.1535,0.45000000000000284,1.0166174298375186,36.0,350.0,2.0,58.0,,,,105.28571428571429,,0,1,0,0,0,0,1,1,0,0,0,0,1
2022-01-12,S001,P0001,145,104,189,92.92,0,0,2022,1,12,2,92.92,-4.670000000000002,0.952146736345937,16.0,36.0,350.0,147.0,,,,99.28571428571429,,0,0,0,1,0,1,0,0,1,0,0,0,1
2022-01-13,S001,P0001,110,80,190,17.27,15,1,2022,1,13,3,14.679499999999999,-4.52,0.7925653969710876,104.0,16.0,36.0,37.0,,,,93.14285714285714,,0,1,0,0,0,0,0,0,1,0,0,0,1
2022-01-14,S001,P0001,199,177,44,90.05,20,0,2022,1,14,4,72.04,3.0,1.0344629523262492,80.0,104.0,16.0,107.0,,,,99.28571428571429,,0,0,0,1,1,0,0,0,1,0,0,0,1
2022-01-15,S001,P0001,290,176,94,98.04,10,1,2022,1,15,5,88.236,-0.1599999999999966,0.9983706720977598,177.0,80.0,104.0,2.0,127.0,,,109.28571428571429,,0,0,1,0,1,0,0,1,0,0,0,0,1
2022-01-16,S001,P0001,104,97,189,11.39,15,0,2022,1,16,6,9.6815,3.4300000000000006,1.4309045226130654,176.0,177.0,80.0,350.0,81.0,,,134.14285714285714,,0,0,1,0,0,0,0,0,1,0,0,0,1
2022-01-17,S001,P0001,134,69,95,95.27,0,1,2022,1,17,0,95.27,2.6700000000000017,1.0288336933045357,97.0,176.0,177.0,36.0,5.0,,,98.0,,0,0,1,0,0,0,0,1,0,0,0,0,1
2022-01-18,S001,P0001,339,123,157,90.7,15,0,2022,1,18,1,77.095,4.189999999999998,1.048433707085886,69.0,97.0,176.0,16.0,58.0,,,102.71428571428571,,1,0,0,0,1,0,0,0,0,1,0,0,1
2022-01-19,S001,P0001,431,211,139,97.97,10,0,2022,1,19,2,88.173,2.9099999999999966,1.030612244897959,123.0,69.0,97.0,104.0,147.0,,,118.0,,0,0,1,0,0,0,1,0,0,0,0,0,1
2022-01-20,S001,P0001,154,79,113,10.38,0,0,2022,1,20,3,10.38,-1.08,0.9057591623036649,211.0,123.0,69.0,80.0,37.0,,,133.28571428571428,,0,1,0,0,1,0,0,0,0,0,0,0,1
2022-01-21,S001,P0001,430,390,195,13.1,15,1,2022,1,21,4,11.135,-2.040000000000001,0.8652575957727873,79.0,211.0,123.0,177.0,107.0,,,133.14285714285714,,0,0,0,0,0,1,0,0,1,0,0,0,1
2022-01-22,S001,P0001,450,191,197,87.64,0,1,2022,1,22,5,87.64,-3.8100000000000023,0.9583378895571351,390.0,79.0,211.0,176.0,2.0,,,163.57142857142858,,1,0,0,0,1,0,0,0,1,0,0,0,1
2022-01-23,S001,P0001,118,79,155,22.65,15,0,2022,1,23,6,19.252499999999998,-2.5400000000000027,0.8991663358475585,191.0,390.0,79.0,97.0,350.0,,,165.71428571428572,,0,1,0,0,0,0,1,0,0,0,0,0,1
2022-01-24,S001,P0001,115,9,132,76.71,15,1,2022,1,24,0,65.20349999999999,0.8599999999999994,1.0113381674357285,79.0,191.0,390.0,69.0,36.0,,,163.14285714285714,,0,0,0,1,0,1,0,0,1,0,0,0,1
2022-01-25,S001,P0001,348,189,122,18.35,15,1,2022,1,25,1,15.5975,-3.66,0.8337119491140391,9.0,79.0,191.0,123.0,16.0,,,154.57142857142858,,0,1,0,0,0,0,0,1,0,0,0,0,1
2022-01-26,S001,P0001,200,49,101,59.48,5,1,2022,1,26,2,56.50599999999999,4.029999999999994,1.0726780883678988,189.0,9.0,79.0,211.0,104.0,,,164.0,,0,0,0,0,0,1,0,0,0,1,0,0,1
2022-01-27,S001,P0001,410,164,116,93.34,0,0,2022,1,27,3,93.34,-0.9899999999999949,0.9895049295028093,49.0,189.0,9.0,79.0,80.0,,,140.85714285714286,,0,1,0,0,0,1,0,0,0,0,0,0,1
2022-01-28,S001,P0001,158,97,82,53.25,20,1,2022,1,28,4,42.6,3.299999999999997,1.066066066066066,164.0,49.0,189.0,390.0,177.0,,,153.0,,0,1,0,0,0,0,0,0,0,0,0,0,1
2022-01-29,S001,P0001,154,47,124,88.06,15,1,2022,1,29,5,74.851,-4.780000000000001,0.9485135717363206,97.0,164.0,49.0,191.0,176.0,,,111.14285714285714,,0,1,0,0,0,1,0,0,1,0,0,0,1
